time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760625237.291,0.52017444,-0.08890277,0.309884,-0.00199765,0.95464678,-0.00627654,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.83344902,0.05342986,-3.79949901,4.80191874,-0.71751308,4.21072424,5.7945985,0.0,-5.53375233,-0.04178346,5.34796113,-0.98584132,-3.505976,0.0,0.0,0.26314276,-0.46985128
1760625237.324,0.52810077,-0.1151759,0.29602585,-0.00218634,0.95477364,-0.00623408,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.87787019,0.09695489,-3.73278097,4.85014462,-0.73752442,4.10600546,6.18757483,0.0,-5.93471099,-0.1293027,5.3940935,-1.0128618,-3.53748765,0.0,0.0,0.25826987,-0.46088215
1760625237.358,0.51930848,-0.11368416,0.32408281,-0.00188545,0.95475772,-0.00642129,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.93218825,0.11706497,-3.74724568,4.92029216,-0.7737177,4.1168906,6.248943,0.0,-6.01039547,-0.13342837,5.45416061,-1.03686842,-3.5409587,0.0,0.0,0.20834178,-0.42807275
1760625237.391,0.54174011,-0.12005824,0.33125935,-0.00194582,0.95481556,-0.00718491,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.98119683,0.17590462,-3.78097632,4.92877716,-0.82865412,4.18403618,6.86408883,0.0,-6.61492197,-0.2940349,5.46198695,-1.02115997,-3.54732964,0.0,0.0,0.20619396,-0.43329094
1760625237.424,0.53873239,-0.11727187,0.3412293,-0.00173339,0.95487829,-0.00738412,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.98649914,0.18090001,-3.7751732,4.92535881,-0.85165101,4.25294468,6.86344237,0.0,-6.61882229,-0.30862348,5.45607666,-1.04664737,-3.49261296,0.0,0.0,0.20270182,-0.43712185
1760625237.458,0.5447155,-0.11919651,0.39378461,-0.00126221,0.95478795,-0.00778068,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.8885175,0.20027803,-3.8462645,4.80857034,-0.88144713,4.36979903,6.90088094,0.0,-6.6679853,-0.31557694,5.33627434,-1.03509031,-3.51116668,0.0,0.0,0.19983675,-0.45162683
1760625237.491,0.55169203,-0.11480361,0.40911302,-0.00177914,0.95495095,-0.00719566,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.88487882,0.19485071,-3.83140061,4.79155602,-0.88624846,4.43801921,6.90197446,0.0,-6.67984566,-0.31295292,5.32244781,-1.03727158,-3.46071619,0.0,0.0,0.20341082,-0.44686198
1760625237.525,0.58227703,-0.1141609,0.41342655,-0.00144698,0.95523556,-0.00697643,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.8376651,0.16924437,-3.86173579,4.70341246,-0.8654605,4.53090604,6.92567072,0.03880849,-6.68965493,-0.33001229,5.24256513,-1.04539418,-3.42200627,0.0,0.0,0.23572255,-0.42343995
1760625237.558,0.56036167,-0.10924351,0.42367798,-0.00135501,0.95548402,-0.00689031,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.71342406,0.13323565,-3.93985168,4.59381,-0.84041982,4.63009381,6.89818915,0.03007037,-6.64353944,-0.33307248,5.1370556,-1.06095433,-3.48370674,0.0,0.0,0.24416003,-0.40503333
1760625237.592,0.55050787,-0.11197378,0.44599055,-0.00152552,0.95573966,-0.0070654,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.60658726,0.14552476,-3.95713731,4.48843343,-0.88955938,4.64434874,6.85020272,0.0,-6.53390534,-0.36252909,5.02980203,-1.02075594,-3.46149588,0.0,0.0,0.20545639,-0.43991541
