time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760624560.826,0.22179402,-0.0937532,0.35583492,-0.01478519,0.94344988,0.00783423,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.65173081,-1.08003244,-7.86846338,6.92107842,1.41496489,8.57241847,0.65031739,0.0,0.14552535,-0.19555566,6.97848027,-4.14553311,-21.61798776,0.0,14.12346179,-0.76605422,1.20705048
1760624560.86,0.22194551,-0.09882877,0.35543118,-0.01474452,0.94354021,0.00823474,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.64851832,-1.09350587,-7.86314129,6.91677474,1.40518924,8.63170252,0.67533606,0.0,0.15828032,-0.2220368,6.98488127,-4.16501068,-21.60842667,0.0,14.13766633,-0.77026123,1.21668453
1760624560.893,0.22809221,-0.09695908,0.37972706,-0.01492058,0.94364877,0.00882565,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.72710989,-1.17345041,-8.10674138,6.98040126,1.50750432,8.87168796,0.69166406,0.0,0.19151784,-0.23387259,7.02390285,-4.2936374,-21.68419496,0.0,14.12438959,-0.75255321,1.2137258
1760624560.927,0.23840137,-0.10243117,0.38951349,-0.01508563,0.94363837,0.00912334,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.73054998,-1.17964374,-8.12180493,6.98871253,1.51020332,8.91647956,0.71149659,0.0,0.19648295,-0.2632145,7.027868,-4.30813854,-21.67163641,0.0,14.14488058,-0.7236141,1.22912399
1760624560.96,0.24163414,-0.09933123,0.4010786,-0.01625047,0.94398474,0.00922059,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.78296232,-1.24186458,-8.35615428,7.03160477,1.61995022,9.14628268,0.73584791,0.0,0.18125896,-0.27024612,7.06070339,-4.40090482,-21.80209162,0.0,14.08228771,-0.71957199,1.23236862
1760624560.994,0.23879211,-0.11424387,0.40317652,-0.01681837,0.94402778,0.00907707,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.774344,-1.21580843,-8.37416516,7.02316004,1.64767479,9.13192616,0.74640993,0.0,0.17774414,-0.244318,7.04694149,-4.38948782,-21.81253275,0.0,14.07987823,-0.70605189,1.21540598
1760624561.027,0.24861537,-0.12280233,0.40769959,-0.0169692,0.94396593,0.00897084,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.7868136,-1.19477216,-8.3752722,7.00126986,1.65730144,9.14334944,0.76184598,0.0,0.17342667,-0.24354654,7.01419782,-4.39331609,-21.82353278,0.0,14.07832595,-0.68781273,1.23713875
1760624561.061,0.23225298,-0.12771312,0.41391867,-0.01604312,0.94360067,0.00918911,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.61281877,-1.21188027,-8.40522288,6.80906112,1.68169016,9.16426321,0.76698697,0.0,0.19730314,-0.26111865,6.8113951,-4.41843345,-21.8992865,0.0,14.11578822,-0.6678053,1.22977557
1760624561.094,0.22986771,-0.12967543,0.43067924,-0.0154493,0.94350316,0.00896781,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.40675695,-1.19971592,-8.31677981,6.59484843,1.65458483,8.98310534,0.75570502,0.0,0.14006517,-0.22905881,6.5711119,-4.40883836,-21.91445655,0.0,14.20724931,-0.64891615,1.22024026
1760624561.127,0.20894583,-0.13398746,0.44143054,-0.01483401,0.94334819,0.00878293,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.18231026,-1.15655667,-8.07347525,6.38666608,1.57750888,8.72602864,0.7297289,0.0,0.16274665,-0.24443417,6.34966115,-4.34719961,-21.91090353,0.0,14.36669475,-0.60764478,1.20712576
1760624561.161,0.20276076,-0.13303501,0.46740595,-0.01452908,0.94358849,0.00863478,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.21170465,-1.12690152,-8.05682854,6.41306267,1.55816592,8.68429707,0.71694624,0.0,0.15121037,-0.2621433,6.35168934,-4.362421,-21.92778501,0.0,14.36717222,-0.57628452,1.21157956
1760624561.194,0.20510933,-0.13766526,0.47481377,-0.01503343,0.94357825,0.0082249,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.25992123,-1.00674142,-7.94685541,6.45260169,1.44201881,8.48145266,0.71223672,0.0,0.13370675,-0.26556375,6.39832857,-4.2874342,-21.96826863,0.0,14.41701523,-0.57265086,1.20537944
1760624561.228,0.2036218,-0.129242,0.48505868,-0.01536284,0.94357188,0.00820497,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.25861775,-0.99195936,-7.93558457,6.45617664,1.4297055,8.43447815,0.66079323,0.0,0.1091888,-0.26935466,6.38189963,-4.29644904,-22.00165643,0.0,14.39167668,-0.55627845,1.19023709
1760624561.261,0.19960201,-0.1234323,0.49062193,-0.01534649,0.9435659,0.0081667,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.26231418,-0.98137647,-7.925981,6.44574115,1.42145937,8.40830691,0.64816116,0.0,0.10678021,-0.27020943,6.38495397,-4.30881342,-22.03155072,0.0,14.36309088,-0.54934516,1.1878159
1760624561.295,0.20948846,-0.11796506,0.4979112,-0.01469722,0.94374374,0.00815595,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.26235642,-0.95292479,-7.91840351,6.45929807,1.39353049,8.3321795,0.6061145,0.0,0.10511403,-0.27706745,6.35579801,-4.31279467,-22.05946454,0.0,14.3420074,-0.51885862,1.20714249
1760624561.328,0.21050269,-0.12191285,0.4805283,-0.01416725,0.94387732,0.00796937,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.2780448,-0.83667627,-7.74308466,6.50478086,1.25173848,8.13782137,0.60112224,0.0,0.11432465,-0.27713426,6.40930919,-4.20685297,-22.04186722,0.0,14.40352852,-0.53616206,1.19799456
1760624561.362,0.20850528,-0.12199031,0.47953584,-0.0140412,0.94394237,0.0076667,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.09054363,-0.80820471,-7.63981162,6.33989537,1.1711805,8.00824226,0.58201865,0.0,0.13962168,-0.28662429,6.2430442,-4.15783234,-22.03117534,0.0,14.42776022,-0.53662839,1.19973313
